created_at	user_screen_name	user_name	text
Thu Dec 31 23:17:09 +0000 2020	Navitas_Green	Navitas	4 green companies that are changing the world #RenewableEnergy #innovation via https://t.co/E5Vg24J7Dj https://t.co/iYjuc5WCeT
Thu Dec 31 23:20:17 +0000 2020	designthinkbot	DesignThinkBot	RT @innovationtutor: “Take the world as it is, not as it ought to be.” -- German Proverb -- #innovation #change #transformation #designthin…
Thu Dec 31 23:27:14 +0000 2020	ellecresswell	Ellen Cresswell	RT @CathyColeborne: Reminder! Our @anzshm #conference runs 1-4 Dec 2021. Focused on #Innovation in #health and medicine, it will be held at…
Fri Jan 01 02:54:35 +0000 2021	scitechindian	SYED JUNAID AHMED	RT @iChetanPatil: #Technology #Thread #Semiconductor #Manufacturing #InnovationThe Semiconductor Continuous Innovation:1/ - The Semicon…
Fri Jan 01 04:04:35 +0000 2021	JimMcLMeta	Jim McLaughlin	RT @CIEAdvising: Proud of our first published collaboration with @DrZamanRokonThe sky is the limit for #innovation in developing nations.…
Fri Jan 01 04:44:02 +0000 2021	AnjaHoffmann	Anja Hoffmann	The Next Generation Business Models https://t.co/nFOd6I4uyK #innovation #technology
Thu Dec 31 17:51:42 +0000 2020	JakeJiang7	Jake Jiang	Thermal energy storage could be a key green innovation player #Innovation via https://t.co/eoLt21oByi https://t.co/vTlS1wNMBr
Thu Dec 31 17:55:59 +0000 2020	SSXman2	S. S. Xman	RT @oluskayacan: RT @Nicochan33: This is exactly what I need. Via @gigadgets_ #innovation #car #CES2021 @jblefevre60 @kalydeoo @ipfconline1…
Thu Dec 31 18:50:04 +0000 2020	AndrzejKlimczuk	Andrzej Klimczuk	#CfP: #Social, #Technological and #Health #Innovation: Opportunities and Limitations for the Social #Policy, Health… https://t.co/dXCBSu6qD7
Thu Dec 31 20:01:04 +0000 2020	NellisterC	nellister charles	Thermal energy storage could be a key green innovation player #Innovation via https://t.co/ypYmUnY8pA https://t.co/1SitSYKpxa
Thu Dec 31 20:01:05 +0000 2020	witzshared	WarehouseFlow Advisor	How #food #innovation has continued during the pandemichttps://t.co/SWqMmZrRNd https://t.co/7UzCQwrO5G
Thu Dec 31 20:02:59 +0000 2020	plutocero	Pluto	RT @forgeaheadio: #Innovation Funnel [ #Infographic]The 4 Phases#blockchain #DataScience #Industry40 #womenintech #DataAnalytics #tech…
Thu Dec 31 20:10:22 +0000 2020	AUKenDog	Ken Martin	RT @AUKenDog: #MixedReality for #surgery:  @ApoQlar continues trend of #medical #simulation #innovationhttps://t.co/1k9U6wblMk#innovat…
Thu Dec 31 20:27:21 +0000 2020	DIEBO37RT2	George𝕲🇺🇸	RT @DIEBO37: Special Appearance From Spot’s Family  #𝒟𝒾𝑒𝒷𝒪37 https://t.co/nhdYqb0fTh #Robotics #Innovation #Technology https://t.co/JiyBVQ…
Thu Dec 31 20:28:32 +0000 2020	EquipmentToday	Equipment Today	It's been a year of #technology and #innovation, as every industry has worked to find solutions, or at least workar… https://t.co/it0KB9Kpmv
Thu Dec 31 21:06:18 +0000 2020	AppleRTweet	AppleRetweetBot	RT @QS2Point: #Future #MacBooks might have little displays on each keyhttps://t.co/9ZFJk2Fojc#innovation #Apple #keyboards #keys #techno…
Thu Dec 31 21:34:51 +0000 2020	Shuchi5	Shuchi Sharma	RT @EricaLailhacar: In 2021, I foresee #SAPPartners continuing the #innovation that drove business practices such as curbside pickup and re…
