created_at	user_screen_name	user_name	text
Tue Jun 30 22:02:12 +0000 2020	vinelandrsrch	Vineland Research	Happy #CanadaDay from the #Vineland team #innovation #horticulture https://t.co/7MmwykitAA
Tue Jun 30 22:08:04 +0000 2020	JuergenKob	Jürgen Kob	RT @PMProuk: How To Rebuild The Economy And Create Jobs With Clean Energy Innovation #Innovation #ui  https://t.co/swYu9hbIKs
Tue Jun 30 22:26:28 +0000 2020	CisoOnlineClub	Ciso Online Club	RT @Fisher85M: The Internet of Things explosion! {Infographic}#iot #innovation #IIoT #startup #SMM @Fisher85M #Industry40 #CyberSecurity…
Tue Jun 30 23:20:00 +0000 2020	rayjumah	Raymond Jumah	Are you championing #Innovation to #disrupt your respective business or operational ecosystems? The following 3 m… https://t.co/CpIshBjC6M
Tue Jun 30 23:29:01 +0000 2020	CE_IT_Vision	Carlos F. Escobar	Q.E.N.O - The ZEN of #Innovation is out! https://t.co/qOe4TVyx0j #innovation #technology
Tue Jun 30 23:44:06 +0000 2020	Kieran_GBX	Kieran Mitchell	RT @IT_since_1997: We are proud to Sponsor the Tech Innovator Category for The Norfolk Business Awards 2020.#innovation #technologyhttp…
Wed Jul 01 00:17:12 +0000 2020	Vikezmedia	Vikez	RT @Vikezmedia: This AI-powered robot can produce 300 pizzas an hour! #pizza #food #robots #robotics #cooking #tech #innovation #startup #v…
Wed Jul 01 00:19:40 +0000 2020	KTerna	Erna Snelgrove	RT @SEAMOKingston: One #COVID19 #Innovation Fund research project involves students from @QueensuSON, @QueensSRT and @QueensUHealth at @que…
Wed Jul 01 00:34:51 +0000 2020	luigiwewege	Luigi Wewege	RT @UrsBolt: The evolution of digital payments 📲The #payments landscape is transforming dramatically with scores of cashless #innovation…
Wed Jul 01 01:21:08 +0000 2020	expodato	Expodato Eventos y promoción	RT @EventTesseract: Farm &amp; Food 4.0  @FarmFood40Save the Date! 18 Jan 2021 • European Congress for #Innovation and #Digitalization in #Agr…
Wed Jul 01 01:23:30 +0000 2020	CelineDarnet_	Céline Gianni Darnet	COVID-19 has changed the way businesses and consumers think about payments. #innovation #fintech #biometrics via… https://t.co/LhD0gGHBfa
Wed Jul 01 01:47:50 +0000 2020	nuy_chau	Nuy Chau	RT @BLiSS_emcr: *****SAVE THE DATE***** 20-23 OCTOBER, 2020! Do not miss #BLiSSAdelaide2020 - an exciting virtual #Science and #innovation…
Wed Jul 01 02:45:00 +0000 2020	PawlowskiMario	Mario Pawlowski 🇵🇱🇺🇸🇪🇺🌎⚽️	RT @CaseyCRL: Great tweet, @Ronald_vanLoon! #Summer + #Swimming + #Pools + #Lakes + #Beaches = The need for #safety #innovation!"Lifeguar…
Wed Jul 01 03:50:11 +0000 2020	HolttaOtto	Katja Holtta-Otto	What questions to ask to succeed in crowd based #innovation? #Data shows you need to show _evidence_ of technical f… https://t.co/1xNrxOqCn0
Wed Jul 01 03:50:53 +0000 2020	kukiello	Anna.@	RT @TomHall: 🏢When the Building is Art...⛩#Architecture #Tech #Design #Innovation #WednesdayWisdom https://t.co/1q93Xwj7k8
Wed Jul 01 03:54:21 +0000 2020	rakitoon	Tory	RT @TomHall: 🏢When the Building is Art...⛩#Architecture #Tech #Design #Innovation #WednesdayWisdom https://t.co/1q93Xwj7k8
Tue Jun 30 16:00:46 +0000 2020	LZerafa	Lian Zerafa	How can businesses grow when the markets don't? In a six-part webinar series, #brand and #innovation experts from O… https://t.co/Ob2mBVgerC
Tue Jun 30 16:05:48 +0000 2020	hiramusta4	Witold Pilecki 4859	RT @jamesvgingerich: #WhatsNext? Could a replacement for the facemask be this head protection device? I guess some #Innovation can happen b…
Tue Jun 30 16:05:57 +0000 2020	simplylifeindia	Simply Life India Speakers Bureau	There is no limit to human ingenuity and the possibilities of accomplishment - Nikola Tesla.#innovation… https://t.co/z0hbSqsSU6
Tue Jun 30 16:08:20 +0000 2020	clairebotai	Claire	RT @Gandalf_Smith: https://t.co/Dbz29dDgdJ #zysola #tech #technews #techworld #technology #innovation LG Velvet vs. OnePlus 8: Budget flags…
Tue Jun 30 16:10:38 +0000 2020	Gandalf_Smith	Zysola	https://t.co/dRUGa4MCLE #zysola #tech #technews #techworld #technology #innovation ATSC 3.0: Every 2020 TV that sup… https://t.co/SAmzpkFUTe
Tue Jun 30 16:25:05 +0000 2020	jatandave	jatan dave	RT @CapgeminiIndia: Why #innovation and the growth of your future #business is everyone’s call with Capgemini Design Office? Read here: htt…
Tue Jun 30 16:26:13 +0000 2020	Mondomoog	Michael O	RT @jamesvgingerich: #WhatsNext? Could a replacement for the facemask be this head protection device? I guess some #Innovation can happen b…
Tue Jun 30 16:32:15 +0000 2020	m_clem	Michael Clemens	RT @profzeke: Thank you @Marketplace @mollywood for talking with me about #immigrants,  #investment, &amp; #innovation in light of the #Immigra…
Tue Jun 30 16:54:54 +0000 2020	RetailProNews	Retail Pro	"We wanted a world-class #tech platform to help us bring #innovation to Pakistan’s pharma #retail industry. I am gr… https://t.co/jB6ffYLdui
Tue Jun 30 17:13:27 +0000 2020	chainyoda	Ajit Tripathi	@dionlisle Good point. Money --&gt; culture &gt;&gt; mouth --&gt; culture. #fintech #innovation
Tue Jun 30 17:15:00 +0000 2020	thomca	Chuck Thompson	The impact of COVID-19: Customer service, digital transformation, and the new normal #innovation https://t.co/McA3A6BBtF
Tue Jun 30 17:17:13 +0000 2020	Gandalf_Smith	Zysola	https://t.co/KRAhyw0HWy #zysola #tech #technews #techworld #technology #innovation FCC declares Huawei, ZTE ‘nation… https://t.co/op9TDVClNk
Tue Jun 30 17:32:35 +0000 2020	jonathan_uk	Jonathan Mitchener	RT @HowardPeartree: 📢 The Sustainable #Innovation Fund will help companies recovering from the impact of coronavirus (COVID-19) keep their…
Tue Jun 30 17:32:52 +0000 2020	organichat	craig daniels	The latest Innovation - Enlightening Finds! https://t.co/IhHFda4sQr Thanks to @MarlaKeene9 @DataStorage2 #innovation #technology
Tue Jun 30 17:36:56 +0000 2020	Maliktsmalik	TS MALIK	RT @Fabriziobustama: This head protection device could be an alternative to face masksBy @gigadgets_#wearable #coronavirus #innovation #…
Tue Jun 30 17:38:49 +0000 2020	historymadebyus	Made By Us	RT @kazbrecher: What would happen if we used #innovation + #designthinking methods to shape our #future? Find out! https://t.co/UbHzPsOLCw
Tue Jun 30 17:48:02 +0000 2020	mcxl	💧Alan Richardson	RT @MrDataScience: This is a game changer for small farm owners! The planter that turns hours of planting into just minutes.#Innovation #S…
Tue Jun 30 17:52:12 +0000 2020	ChristopherIsak	Chris Isak	RT @TechAcuteCom: Intel Compute Stick: The Computer That Fits In Your Handhttps://t.co/1JwEPFPBpf#Innovation #Intel https://t.co/lxM4o0fp…
Tue Jun 30 18:00:34 +0000 2020	kaistha_deepak	DKODING	RT @jamesvgingerich: #WhatsNext? Could a replacement for the facemask be this head protection device? I guess some #Innovation can happen b…
Tue Jun 30 18:40:15 +0000 2020	pdrini_guardian	Pdrini_guardian	RT @Fabriziobustama: This head protection device could be an alternative to face masksBy @gigadgets_#wearable #coronavirus #innovation #…
Tue Jun 30 18:55:55 +0000 2020	ibossCloud	iboss	#iboss is leading #innovation in #cloudsecurity with its extensive patented platform for cloud security with over 2… https://t.co/kb0t6fKkzL
Tue Jun 30 19:29:11 +0000 2020	adampellegrini	adampellegrini	RT @jon_mayhew: When leading #innovation, take the mindset of someone leading a team of explorers. Our @CVSHealth team is looking to places…
Tue Jun 30 19:43:50 +0000 2020	advantage_int	Advantage Group International	New @Walmart Health brings affordable and accessible healthcare to Springdale community #Innovation… https://t.co/jueiqtOOS8
Tue Jun 30 19:47:00 +0000 2020	rhayward104	Richard Hayward	RT @Legrand: Innovation and simplicity— #Design lies at the heart of Legrand’s #innovation #strategy, striking the right balance between te…
Tue Jun 30 19:49:25 +0000 2020	HemsZwier	HemsZwier	The latest Social Innovation Lab ! https://t.co/D4yVhvPEvC #innovation #technology
Tue Jun 30 20:04:56 +0000 2020	TheEngineerUK	The Engineer	On the right road to automotive electric motors https://t.co/1705krxr3x #innovation #engineering #technology https://t.co/E5d0CH26BQ
Tue Jun 30 20:07:06 +0000 2020	enrirosasdiaz	enrique rosas diaz	RT @Ronald_vanLoon: This electric car was 3D-printed in just 3 daysby @CNBC#Tech #Transport #3DPrint #Digital #IoT #InnovationCc: @enr…
Tue Jun 30 20:09:04 +0000 2020	jobinindia	🇮🇳 SKumarS 🇨🇦🍁	The car radio turns 90 this year. Here's how it all came about. #Innovation via https://t.co/pwflzXGpiN https://t.co/O4oAQRPeaA
Tue Jun 30 20:12:27 +0000 2020	enrirosasdiaz	enrique rosas diaz	RT @GeorgeWillems1: 🤖 Meet #Gita the brother of #SpheroBB8 in #StarsWars ! 😆#innovation #IA #AI #robot #tech #smart #autonomous #IoT via…
Tue Jun 30 20:13:22 +0000 2020	2601Manish	Prof. Manish Thakur	RT @jamesvgingerich: #WhatsNext? Could a replacement for the facemask be this head protection device? I guess some #Innovation can happen b…
Tue Jun 30 20:25:52 +0000 2020	docangelmtz1	AAMC	RT @jamesvgingerich: #WhatsNext? Could a replacement for the facemask be this head protection device? I guess some #Innovation can happen b…
Tue Jun 30 21:04:33 +0000 2020	nexus_integral	Integral Nexus	RT @jamesvgingerich: #WhatsNext? Could a replacement for the facemask be this head protection device? I guess some #Innovation can happen b…
Tue Jun 30 21:21:58 +0000 2020	GetSupernotes	Supernotes	@Timothy_Hughes @DLAIgnite Makes sense that Zoom is the 6th most downloaded app. Thanks for the interesting read! #innovation #Onward
Tue Jun 30 21:55:04 +0000 2020	justcoachit	Irene Becker	Canadian #tech orgs form anti-racism coalition to bring #diversity to #innovation | The Star https://t.co/w5sVoQf9Om #Canada
Tue Jun 30 10:04:15 +0000 2020	ActionItalia	Action Institute	#Finance, #innovation and #development, European Affairs and Social Policy: our Action Policy Digest is a collectio… https://t.co/gl5PI2mXJ3
Tue Jun 30 10:04:36 +0000 2020	veryBitterLand	badmofo	RT @Ronald_vanLoon: This is a #5G farm of the future.by @Huawei_Europe#Digital #Tech #DigitalTransformation #Innovation #Drones #Interne…
Tue Jun 30 10:10:24 +0000 2020	orlandoremedios	Orlando Remédios	The latest Innovator's Digest! https://t.co/QnnV4onUoN #innovation #startup
Tue Jun 30 10:13:50 +0000 2020	marykeeling	Mary Keeling	The latest #Innovation Daily! https://t.co/S3JsIfcdla #innovation #startup
Tue Jun 30 10:51:45 +0000 2020	AITechmeme	Artificial Intelligence	RT @TrendingNews_7: This is a #5G farm of the future. by @Huawei_Europe #Digital #Tech #DigitalTransformation #Innovation #Drones #Internet…
Tue Jun 30 11:04:45 +0000 2020	TrendingNews_7	TrendingNews	RT @TrendingNews_7: This is a #5G farm of the future. by @Huawei_Europe #Digital #Tech #DigitalTransformation #Innovation #Drones #Internet…
Tue Jun 30 11:05:42 +0000 2020	NJFJunkermann	Nicole Junkermann	This is just the beginning of #digital money and payments#finance #blockchain #cryptocurrency #innovation #fintech
Tue Jun 30 11:17:30 +0000 2020	RedKnightLtd	RedKnight Consultancy	How does Research and Development Tax Relief work?If your company is investing in #innovation, you can make an R&amp;… https://t.co/4tG0ZUhEbB
Tue Jun 30 11:19:40 +0000 2020	AndrewYoungAU	AndrewYoung ⇪	#Innovation isn't about major change it can be about the 1% factor. Who would have thought about a subscription for… https://t.co/cFjxeyRu0t
Tue Jun 30 11:19:40 +0000 2020	EnglishOffline	English, Just Guided	RT @ume_kyd: Across the sky of imaginationUnlimited is the new limit💥#InnovationDiscover insightful information in your #dataFind the n…
Tue Jun 30 11:43:04 +0000 2020	farhadkaiser2	farhad kaiser	#The Planet Earth rotates in space from day into night and city lights turn#Innovation #SpaceTechnology #Science… https://t.co/AuxyuSwonH
Tue Jun 30 11:50:42 +0000 2020	clairebotai	Claire	RT @Gandalf_Smith: https://t.co/qDMDlOx5r1 #zysola #tech #technews #techworld #technology #innovation Watch SpaceX launch a GPS III satelli…
Tue Jun 30 11:52:56 +0000 2020	Scieducation1	sciencenews	RT @GabrielMariya: The @EUeic Advisory Board members released their roadmap for #EUeic.Based on insights straight from #innovation ecosys…
Tue Jun 30 12:09:00 +0000 2020	cunningham_sw	Scott Cunningham	RT @c_mejia00: New article out! :) Here we explore differences and related cross domains of #business, #innovation and #digital #ecosystems…
Tue Jun 30 12:12:09 +0000 2020	wendyinfutures	Wendy L Schultz	RT @awb58: #innovation Ridley and Mazzucato - if not reconciled, well compared.Combinatorial nature of tech innovation chimes well with B…
Tue Jun 30 12:17:30 +0000 2020	MartinaDaly3	Martina Daly	RT @GabrielMariya: The @EUeic Advisory Board members released their roadmap for #EUeic.Based on insights straight from #innovation ecosys…
Tue Jun 30 12:18:01 +0000 2020	GuidoKerkhof	Guido Kerkhof	Concentrating #innovation in a few bigger and more specialized regions can possibly raise the overall rate of innov… https://t.co/EwvOhpHmDU
Tue Jun 30 12:21:55 +0000 2020	Worrall_PhD	Dr Elizabeth Worrall 🌱	RT @BLiSS_emcr: *****SAVE THE DATE***** 20-23 OCTOBER, 2020! Do not miss #BLiSSAdelaide2020 - an exciting virtual #Science and #innovation…
Tue Jun 30 12:26:37 +0000 2020	Gandalf_Smith	Zysola	https://t.co/qLL6LT5tUi #zysola #tech #technews #techworld #technology #innovation This Montessori inspired, screen… https://t.co/KNHawnIdu9
Tue Jun 30 12:39:18 +0000 2020	icopilots	Philippe MÉDA 🇪🇺	Starting my 12th #webinar on #innovation in crisis / high uncertainties times at 3pm. Today I’ve decided to up the… https://t.co/XOybTxM03Q
Tue Jun 30 12:52:10 +0000 2020	Anvith64518557	IoT_Embedded _electronics	RT @UKMercer: The influence of #IoT on #eCommerce is increasing. @LastochkaN offers insights into how this #innovation will impact online #…
Tue Jun 30 12:54:01 +0000 2020	dinisguarda	Dinis Guarda	The latest The dinis guarda  Daily! https://t.co/IYiM7yW49J Thanks to @JGrobicki #future #innovation
Tue Jun 30 13:23:52 +0000 2020	clairebotai	Claire	RT @Nicochan33: A #drone that could stay in the air for a year. Via @seeker #innovation #ai #ArtificialIntelligence #Robot @sallyeaves @kur…
Tue Jun 30 13:25:16 +0000 2020	sreyadutta	Sreya Dutta	The latest The Instructional Designers Daily! https://t.co/huTO2OFkni Thanks to @gminks @C4LPT #wol #innovation
